# Wavelength Flux_Radius_1 Flux_Radius_2 Flux_Radius_3 Flux_Radius_4
4.635999023437500000e+03 1.990689575195312500e+03 1.692922363281250000e+02 7.664394378662109375e+01 3.292611312866210938e+01
4.637249023437500000e+03 1.997101318359375000e+03 1.790005035400390625e+02 6.901045227050781250e+01 2.366378402709960938e+01
4.638499023437500000e+03 1.923081909179687500e+03 1.835468902587890625e+02 7.901628875732421875e+01 2.794589042663574219e+01
4.639749023437500000e+03 1.918354248046875000e+03 1.627611541748046875e+02 5.830085754394531250e+01 5.332472229003906250e+01
4.640999023437500000e+03 1.966966918945312500e+03 1.412493896484375000e+02 6.389002227783203125e+01 4.232585525512695312e+01
4.642249023437500000e+03 1.922104736328125000e+03 1.713834838867187500e+02 7.785982513427734375e+01 4.225453186035156250e+01
4.643499023437500000e+03 1.986663940429687500e+03 1.770291442871093750e+02 6.963021087646484375e+01 3.780554962158203125e+01
4.644749023437500000e+03 2.033998657226562500e+03 1.749709930419921875e+02 5.808718490600585938e+01 2.499636268615722656e+01
4.645999023437500000e+03 1.982918823242187500e+03 1.721262817382812500e+02 7.346340942382812500e+01 3.991498565673828125e+01
4.647249023437500000e+03 1.998118164062500000e+03 2.001662902832031250e+02 6.593461608886718750e+01 4.134518051147460938e+01
4.648499023437500000e+03 1.912848754882812500e+03 1.768246154785156250e+02 6.287132263183593750e+01 2.938279914855957031e+01
4.649749023437500000e+03 1.957193603515625000e+03 1.898812255859375000e+02 5.909535598754882812e+01 2.289831161499023438e+01
4.650999023437500000e+03 1.915051879882812500e+03 1.449959716796875000e+02 6.065086746215820312e+01 2.332207870483398438e+01
4.652249023437500000e+03 2.073584472656250000e+03 1.707313842773437500e+02 7.512725830078125000e+01 4.816425704956054688e+01
4.653499023437500000e+03 2.054067382812500000e+03 1.520656433105468750e+02 7.461818695068359375e+01 3.583153915405273438e+01
4.654749023437500000e+03 1.956017578125000000e+03 1.807345581054687500e+02 7.343938446044921875e+01 3.272308349609375000e+01
4.655999023437500000e+03 1.998542968750000000e+03 1.899825592041015625e+02 6.639938354492187500e+01 2.447351455688476562e+01
4.657249023437500000e+03 1.980587402343750000e+03 1.922160949707031250e+02 5.731291198730468750e+01 3.930661010742187500e+01
4.658499023437500000e+03 2.012080932617187500e+03 1.846741027832031250e+02 6.969972991943359375e+01 2.320728492736816406e+01
4.659749023437500000e+03 2.003701904296875000e+03 1.814355926513671875e+02 6.601976776123046875e+01 4.415628051757812500e+01
4.660999023437500000e+03 1.915017578125000000e+03 1.804161987304687500e+02 6.853929901123046875e+01 5.341618347167968750e+01
4.662249023437500000e+03 1.928323364257812500e+03 1.703650665283203125e+02 6.764430999755859375e+01 3.511497116088867188e+01
4.663499023437500000e+03 1.900483764648437500e+03 1.778240661621093750e+02 8.753043365478515625e+01 3.929975509643554688e+01
4.664749023437500000e+03 1.847164306640625000e+03 1.736389923095703125e+02 4.763404083251953125e+01 3.026419830322265625e+01
4.665999023437500000e+03 1.898298095703125000e+03 1.663087615966796875e+02 5.654111862182617188e+01 3.984227752685546875e+01
4.667249023437500000e+03 1.859171630859375000e+03 1.781996002197265625e+02 7.752228546142578125e+01 4.115732192993164062e+01
4.668499023437500000e+03 1.911401123046875000e+03 1.689920043945312500e+02 5.621194076538085938e+01 3.440189361572265625e+01
4.669749023437500000e+03 1.863903320312500000e+03 1.831071929931640625e+02 7.220304107666015625e+01 3.347322463989257812e+01
4.670999023437500000e+03 1.773479492187500000e+03 1.673161926269531250e+02 7.517657470703125000e+01 3.821541976928710938e+01
4.672249023437500000e+03 1.720716918945312500e+03 1.473294677734375000e+02 6.901660156250000000e+01 4.573265075683593750e+01
4.673499023437500000e+03 1.760795410156250000e+03 1.342560882568359375e+02 6.768537139892578125e+01 2.971623420715332031e+01
4.674749023437500000e+03 1.786694702148437500e+03 1.664679260253906250e+02 6.217892074584960938e+01 2.984278488159179688e+01
4.675999023437500000e+03 1.808466064453125000e+03 1.795659637451171875e+02 7.444475555419921875e+01 1.899680709838867188e+01
